기간	자치구	동	면적	면적	동	동	통	반
기간	자치구	동	면적	구성비(%)	행정	법정	통	반
2019	종로구	서울특별시 종로구 사직동	1.23	0.2	1	12	16	68
2019	종로구	서울특별시 종로구 삼청동	1.49	0.2	1	7	10	42
2019	종로구	서울특별시 종로구 부암동	2.27	0.4	1	3	18	98
2019	종로구	서울특별시 종로구 평창동	8.87	1.5	1	2	19	147
2019	종로구	서울특별시 종로구 무악동	0.36	0.1	1	1	12	71
2019	종로구	서울특별시 종로구 교남동	0.35	0.1	1	6	18	96
2019	종로구	서울특별시 종로구 가회동	0.54	0.1	1	4	11	60
2019	종로구	서울특별시 종로구 종로1.2.3.4가동	2.35	0.4	1	28	21	67
2019	종로구	서울특별시 종로구 종로5·6가동	0.6	0.1	1	5	15	59
2019	종로구	서울특별시 종로구 이화동	0.78	0.1	1	3	14	89
2019	종로구	서울특별시 종로구 창신1동	0.31	0.1	1	1	13	67
2019	종로구	서울특별시 종로구 창신2동	0.26	-	1	-	19	106
2019	종로구	서울특별시 종로구 창신3동	0.23	-	1	-	14	81
2019	종로구	서울특별시 종로구 숭인1동	0.23	-	1	1	11	66
2019	종로구	서울특별시 종로구 숭인2동	0.35	0.1	1	-	16	80
2019	종로구	서울특별시 종로구 청운효자동	2.57	0.4	1	9	22	94
2019	종로구	서울특별시 종로구 혜화동	1.12	0.2	1	5	29	188
2019	중구	서울특별시 중구 소공동	0.95	0.2	1	11	6	30
2019	중구	서울특별시 중구 회현동	0.84	0.1	1	7	16	98
2019	중구	서울특별시 중구 명동	0.99	0.2	1	18	10	41
2019	중구	서울특별시 중구 필동	1.14	0.2	1	7	12	65
2019	중구	서울특별시 중구 장충동	1.36	0.2	1	3	9	48
2019	중구	서울특별시 중구 광희동	0.74	0.1	1	10	14	107
2019	중구	서울특별시 중구 을지로동	0.6	0.1	1	10	10	54
2019	중구	서울특별시 중구 신당5동	0.39	0.1	1	-	22	134
2019	중구	서울특별시 중구 황학동	0.33	0.1	1	1	26	157
2019	중구	서울특별시 중구 중림동	0.48	0.1	1	4	20	139
2019	중구	서울특별시 중구 신당동	0.55	0.1	1	3	19	98
2019	중구	서울특별시 중구 다산동	0.51	0.1	1	-	20	125
2019	중구	서울특별시 중구 약수동	0.48	0.1	1	-	31	201
2019	중구	서울특별시 중구 청구동	0.34	0.1	1	-	20	165
2019	중구	서울특별시 중구 동화동	0.26	-	1	-	18	118
2019	용산구	서울특별시 용산구 후암동	0.86	0.1	1	1	23	179
2019	용산구	서울특별시 용산구 용산2가동	1.96	0.3	1	2	20	127
2019	용산구	서울특별시 용산구 남영동	1.19	0.2	1	4	13	94
2019	용산구	서울특별시 용산구 원효로2동	0.71	0.1	1	5	22	148
2019	용산구	서울특별시 용산구 효창동	0.44	0.1	1	1	13	103
2019	용산구	서울특별시 용산구 용문동	0.28	-	1	2	17	121
2019	용산구	서울특별시 용산구 이촌1동	2.86	0.5	1	1	33	248
2019	용산구	서울특별시 용산구 이촌2동	1.22	0.2	1	-	14	96
2019	용산구	서울특별시 용산구 이태원1동	0.57	0.1	1	1	15	102
