주소,OBJECTID,adm_nm,adm_cd,adm_cd2,sidonm,sggnm,기간,자치구,동,인구,면적,인구밀도
서울특별시 종로구 사직동,0,서울특별시 종로구 사직동,1101053,1111053000,서울특별시,종로구,2019,종로구,사직동,"9,815",1.23,"7,980"
서울특별시 종로구 삼청동,1,서울특별시 종로구 삼청동,1101054,1111054000,서울특별시,종로구,2019,종로구,삼청동,"2,997",1.49,"2,011"
서울특별시 종로구 부암동,2,서울특별시 종로구 부암동,1101055,1111055000,서울특별시,종로구,2019,종로구,부암동,"10,551",2.27,"4,648"
서울특별시 종로구 평창동,3,서울특별시 종로구 평창동,1101056,1111056000,서울특별시,종로구,2019,종로구,평창동,"18,816",8.87,"2,121"
서울특별시 종로구 무악동,4,서울특별시 종로구 무악동,1101057,1111057000,서울특별시,종로구,2019,종로구,무악동,"8,740",0.36,"24,278"
서울특별시 종로구 교남동,5,서울특별시 종로구 교남동,1101058,1111058000,서울특별시,종로구,2019,종로구,교남동,"10,708",0.35,"30,594"
서울특별시 종로구 가회동,6,서울특별시 종로구 가회동,1101060,1111060000,서울특별시,종로구,2019,종로구,가회동,"4,488",0.54,"8,311"
서울특별시 종로구 종로1·2·3·4가동,7,서울특별시 종로구 종로1·2·3·4가동,1101061,1111061500,서울특별시,종로구,2019,종로구,종로1·2·3·4가동,"8,446",2.35,"3,594"
서울특별시 종로구 종로5·6가동,8,서울특별시 종로구 종로5·6가동,1101063,1111063000,서울특별시,종로구,2019,종로구,종로5·6가동,"5,839",0.6,"9,732"
서울특별시 종로구 이화동,9,서울특별시 종로구 이화동,1101064,1111064000,서울특별시,종로구,2019,종로구,이화동,"8,470",0.78,"10,859"
서울특별시 종로구 창신1동,10,서울특별시 종로구 창신1동,1101067,1111067000,서울특별시,종로구,2019,종로구,창신1동,"6,079",0.31,"19,610"
서울특별시 종로구 창신2동,11,서울특별시 종로구 창신2동,1101068,1111068000,서울특별시,종로구,2019,종로구,창신2동,"9,799",0.26,"37,688"
서울특별시 종로구 창신3동,12,서울특별시 종로구 창신3동,1101069,1111069000,서울특별시,종로구,2019,종로구,창신3동,"7,271",0.23,"31,613"
서울특별시 종로구 숭인1동,13,서울특별시 종로구 숭인1동,1101070,1111070000,서울특별시,종로구,2019,종로구,숭인1동,"6,532",0.23,"28,400"
서울특별시 종로구 숭인2동,14,서울특별시 종로구 숭인2동,1101071,1111071000,서울특별시,종로구,2019,종로구,숭인2동,"9,902",0.35,"28,291"
서울특별시 종로구 청운효자동,15,서울특별시 종로구 청운효자동,1101072,1111051500,서울특별시,종로구,2019,종로구,청운효자동,"12,981",2.57,"5,051"
서울특별시 종로구 혜화동,16,서울특별시 종로구 혜화동,1101073,1111065000,서울특별시,종로구,2019,종로구,혜화동,"20,435",1.12,"18,246"
서울특별시 중구 소공동,17,서울특별시 중구 소공동,1102052,1114052000,서울특별시,중구,2019,중구,소공동,"3,059",0.95,"3,220"
서울특별시 중구 회현동,18,서울특별시 중구 회현동,1102054,1114054000,서울특별시,중구,2019,중구,회현동,"5,850",0.84,"6,964"
서울특별시 중구 명동,19,서울특별시 중구 명동,1102055,1114055000,서울특별시,중구,2019,중구,명동,"3,567",0.99,"3,603"
서울특별시 중구 필동,20,서울특별시 중구 필동,1102057,1114057000,서울특별시,중구,2019,중구,필동,"5,020",1.14,"4,404"
서울특별시 중구 장충동,21,서울특별시 중구 장충동,1102058,1114058000,서울특별시,중구,2019,중구,장충동,"5,628",1.36,"4,138"
서울특별시 중구 광희동,22,서울특별시 중구 광희동,1102059,1114059000,서울특별시,중구,2019,중구,광희동,"6,284",0.74,"8,492"
서울특별시 중구 을지로동,23,서울특별시 중구 을지로동,1102060,1114060500,서울특별시,중구,2019,중구,을지로동,"2,007",0.6,"3,345"
서울특별시 중구 신당5동,24,서울특별시 중구 신당5동,1102065,1114065000,서울특별시,중구,2019,중구,신당5동,"10,929",0.39,"28,023"
서울특별시 중구 황학동,25,서울특별시 중구 황학동,1102067,1114067000,서울특별시,중구,2019,중구,황학동,"13,689",0.33,"41,482"
서울특별시 중구 중림동,26,서울특별시 중구 중림동,1102068,1114068000,서울특별시,중구,2019,중구,중림동,"12,942",0.48,"26,963"
서울특별시 중구 신당동,27,서울특별시 중구 신당동,1102069,1114061500,서울특별시,중구,2019,중구,신당동,"9,234",0.55,"16,789"
서울특별시 중구 다산동,28,서울특별시 중구 다산동,1102070,1114062500,서울특별시,중구,2019,중구,다산동,"15,035",0.51,"29,480"
서울특별시 중구 약수동,29,서울특별시 중구 약수동,1102071,1114063500,서울특별시,중구,2019,중구,약수동,"17,734",0.48,"36,946"
