ADM_DR_NM_,Cnt_ADM_DR,Sum_Join_C
,14,0
가락1동,13,13
가락2동,23,23
가락본동,25,25
가리봉동,9,9
가산동,111,111
가양1동,56,56
가양2동,14,14
가양3동,13,13
가회동,21,21
갈현1동,42,42
갈현2동,32,32
강일동,51,51
개봉1동,50,50
개봉2동,25,25
개봉3동,21,21
개포1동,15,15
개포2동,34,34
개포4동,33,33
거여1동,6,6
거여2동,10,10
고덕1동,21,21
고덕2동,20,20
고척1동,30,30
고척2동,37,37
공덕동,33,33
공릉1동,48,48
공릉2동,59,59
공항동,58,58
광장동,37,37
광희동,22,22
교남동,22,22
구로1동,21,21
구로2동,40,40
구로3동,46,46
구로4동,16,16
구로5동,35,35
구산동,32,32
구의1동,14,14
구의2동,21,21
구의3동,21,21
군자동,24,24
금호1가동,41,41
금호2·3가동,43,43
금호4가동,27,27
길동,39,39
길음1동,27,27
길음2동,22,22
낙성대동,36,36
난곡동,21,21
난향동,15,15
남가좌1동,14,14
남가좌2동,20,20
남영동,21,21
남현동,7,7
내곡동,62,62
노량진1동,49,49
노량진2동,12,12
녹번동,28,28
논현1동,18,18
논현2동,26,26
능동,9,9
다산동,8,8
답십리1동,28,28
답십리2동,19,19
당산1동,20,20
당산2동,43,43
대림1동,15,15
대림2동,13,13
대림3동,37,37
대방동,52,52
대조동,28,28
대치1동,17,17
대치2동,32,32
대치4동,16,16
대학동,55,55
대흥동,31,31
도곡1동,24,24
도곡2동,19,19
도림동,25,25
도봉1동,39,39
도봉2동,47,47
도화동,34,34
독산1동,67,67
독산2동,7,7
독산3동,21,21
독산4동,16,16
돈암1동,14,14
돈암2동,32,32
동선동,16,16
동화동,4,4
둔촌1동,8,8
둔촌2동,29,29
등촌1동,15,15
등촌2동,9,9
등촌3동,49,49
마장동,29,29
마천1동,14,14
마천2동,12,12
망우3동,10,10
망우본동,53,53
망원1동,23,23
망원2동,33,33
면목2동,23,23
면목3·8동,27,27
면목4동,13,13
면목5동,14,14
면목7동,17,17
면목본동,28,28
명동,24,24
명일1동,21,21
명일2동,16,16
목1동,28,28
목2동,17,17
목3동,9,9
목4동,14,14
목5동,42,42
무악동,6,6
묵1동,32,32
묵2동,19,19
문래동,42,42
문정1동,17,17
문정2동,17,17
미성동,35,35
미아동,27,27
반포1동,25,25
반포2동,17,17
반포3동,15,15
반포4동,35,35
반포본동,3,3
발산1동,59,59
방배1동,21,21
방배2동,36,36
방배3동,47,47
방배4동,26,26
방배본동,23,23
방이1동,11,11
방이2동,13,13
방학1동,34,34
방학2동,23,23
방학3동,32,32
방화1동,39,39
방화2동,34,34
방화3동,18,18
번1동,27,27
번2동,48,48
번3동,39,39
보광동,11,11
보라매동,24,24
보문동,10,10
부암동,34,34
북가좌1동,12,12
북가좌2동,22,22
북아현동,19,19
불광1동,38,38
불광2동,29,29
사근동,21,21
사당1동,12,12
사당2동,27,27
사당3동,26,26
사당4동,3,3
사당5동,25,25
사직동,31,31
삼각산동,22,22
삼선동,41,41
삼성1동,30,30
삼성2동,22,22
삼성동,31,31
삼양동,33,33
삼전동,12,12
삼청동,15,15
상계10동,23,23
상계1동,32,32
상계2동,26,26
상계3·4동,19,19
상계5동,29,29
상계6·7동,32,32
상계8동,14,14
상계9동,19,19
상도1동,43,43
상도2동,36,36
상도3동,34,34
상도4동,34,34
상봉1동,14,14
상봉2동,17,17
상암동,88,88
상일동,36,36
서강동,60,60
서교동,76,76
서림동,22,22
서빙고동,21,21
서원동,20,20
서초1동,34,34
서초2동,45,45
서초3동,71,71
서초4동,40,40
석관동,30,30
석촌동,18,18
성내1동,21,21
성내2동,18,18
성내3동,15,15
성북동,47,47
성산1동,27,27
성산2동,40,40
성수1가1동,32,32
성수1가2동,12,12
성수2가1동,31,31
성수2가3동,19,19
성현동,29,29
세곡동,65,65
소공동,37,37
송정동,16,16
송중동,65,65
송천동,18,18
송파1동,14,14
송파2동,7,7
수궁동,44,44
수색동,17,17
수서동,17,17
수유1동,39,39
수유2동,14,14
수유3동,24,24
숭인1동,12,12
숭인2동,6,6
시흥1동,43,43
시흥2동,20,20
시흥3동,16,16
시흥4동,25,25
시흥5동,34,34
신길1동,25,25
신길3동,25,25
신길4동,13,13
신길5동,22,22
신길6동,23,23
신길7동,29,29
신내1동,51,51
신내2동,20,20
신당5동,8,8
신당동,8,8
신대방1동,15,15
신대방2동,28,28
신도림동,36,36
신림동,17,17
신사1동,22,22
신사2동,30,30
신사동,30,30
신수동,24,24
신원동,10,10
신월1동,10,10
신월2동,10,10
신월3동,12,12
신월4동,10,10
신월5동,13,13
신월6동,12,12
신월7동,20,20
신정1동,27,27
신정2동,15,15
신정3동,63,63
신정4동,19,19
신정6동,22,22
신정7동,24,24
신촌동,50,50
쌍문1동,46,46
쌍문2동,16,16
쌍문3동,15,15
쌍문4동,19,19
아현동,18,18
안암동,32,32
암사1동,16,16
암사2동,6,6
암사3동,12,12
압구정동,19,19
약수동,12,12
