ADM_DR_NM_,Bus_Sum_count
-,81
가락1동,20
가락2동,24
가락본동,28
가리봉동,11
가산동,135
가양1동,53
가양2동,7
가양3동,8
가회동,10
갈현1동,47
갈현2동,35
강일동,37
개봉1동,54
개봉2동,19
개봉3동,22
개포1동,16
개포2동,27
개포4동,28
거여1동,14
거여2동,13
고덕1동,22
고덕2동,25
고척1동,22
고척2동,36
공덕동,28
공릉1동,58
공릉2동,38
공항동,67
광장동,29
광희동,19
교남동,9
구로1동,27
구로2동,50
구로3동,37
구로4동,23
구로5동,29
구산동,47
구의1동,18
구의2동,8
구의3동,19
군자동,21
금호1가동,40
금호2·3가동,37
금호4가동,28
길동,36
길음1동,35
길음2동,21
낙성대동,31
난곡동,5
난향동,19
남가좌1동,16
남가좌2동,22
남영동,11
남현동,8
내곡동,39
노량진1동,45
노량진2동,16
녹번동,15
논현1동,19
논현2동,31
능동,17
다산동,14
답십리1동,18
답십리2동,16
당산1동,21
당산2동,32
대림1동,15
대림2동,15
대림3동,40
대방동,42
대조동,29
대치1동,12
대치2동,24
대치4동,9
대학동,63
대흥동,20
도곡1동,17
도곡2동,16
도림동,32
도봉1동,63
도봉2동,26
도화동,35
독산1동,57
독산2동,12
독산3동,25
독산4동,15
돈암1동,18
돈암2동,23
동선동,12
동화동,7
둔촌1동,5
둔촌2동,18
등촌1동,13
등촌2동,16
등촌3동,47
마장동,21
마천1동,2
마천2동,10
망우3동,5
망우본동,29
망원1동,22
망원2동,39
면목2동,31
면목3·8동,17
면목4동,9
면목5동,19
면목7동,13
면목본동,22
명동,20
명일1동,13
명일2동,16
목1동,22
목2동,21
목3동,9
목4동,16
목5동,31
무악동,5
묵1동,20
묵2동,32
문래동,50
문정1동,13
문정2동,36
미성동,37
미아동,26
반포1동,23
반포2동,24
반포3동,21
반포4동,29
반포본동,5
발산1동,60
방배1동,28
방배2동,32
방배3동,35
방배4동,21
방배본동,30
방이1동,10
방이2동,12
방학1동,28
방학2동,33
방학3동,40
방화1동,45
방화2동,42
방화3동,17
번1동,23
번2동,62
번3동,52
보광동,10
보라매동,21
보문동,15
부암동,39
북가좌1동,12
북가좌2동,17
북아현동,21
불광1동,21
불광2동,25
사근동,15
사당1동,15
사당2동,31
사당3동,34
사당4동,6
사당5동,23
사직동,31
삼각산동,25
삼선동,41
삼성1동,28
삼성2동,17
삼성동,30
삼양동,37
삼전동,14
삼청동,27
상계10동,29
상계1동,26
상계2동,20
상계3·4동,16
상계5동,20
상계6·7동,45
상계8동,20
상계9동,21
상도1동,34
상도2동,48
상도3동,30
상도4동,28
상봉1동,30
상봉2동,14
상암동,101
상일동,38
서강동,63
서교동,78
서림동,16
서빙고동,15
서원동,8
서초1동,23
서초2동,57
서초3동,80
서초4동,45
석관동,20
석촌동,16
성내1동,20
성내2동,16
성내3동,18
성북동,68
성산1동,26
성산2동,55
성수1가1동,39
성수1가2동,13
성수2가1동,29
성수2가3동,27
성현동,14
세곡동,65
소공동,38
송정동,23
송중동,60
송천동,23
송파1동,16
송파2동,6
수궁동,45
수색동,8
수서동,16
수유1동,36
수유2동,22
수유3동,33
숭인1동,2
숭인2동,13
시흥1동,62
시흥2동,9
시흥3동,9
시흥4동,12
시흥5동,27
신길1동,24
신길3동,21
신길4동,12
신길5동,20
신길6동,29
신길7동,30
신내1동,49
신내2동,23
신당5동,16
신당동,10
신대방1동,19
신대방2동,31
신도림동,34
신림동,24
신사1동,22
신사2동,39
신사동,33
신수동,22
신원동,22
신월1동,11
신월2동,9
신월3동,21
신월4동,7
신월5동,15
신월6동,6
신월7동,29
신정1동,19
신정2동,7
신정3동,84
신정4동,25
신정6동,22
신정7동,20
신촌동,56
쌍문1동,40
쌍문2동,25
쌍문3동,11
쌍문4동,16
아현동,22
안암동,36
암사1동,25
암사2동,20
암사3동,8
압구정동,19
약수동,11
양재1동,70
양재2동,67
양평1동,26
양평2동,37
여의동,59
역삼1동,41
역삼2동,30
역촌동,57
연남동,18
연희동,47
염리동,11
염창동,28
영등포동,34
영등포본동,24
오금동,26
오류1동,18
오류2동,81
오륜동,17
옥수동,44
왕십리2동,7
왕십리도선동,27
용강동,33
용답동,28
용문동,16
용산2가동,43
용신동,34
우이동,57
우장산동,31
원효로1동,15
원효로2동,31
월계1동,31
월계2동,40
월계3동,31
월곡1동,24
월곡2동,27
위례동,23
은천동,40
을지로동,14
응봉동,8
응암1동,20
응암2동,17
응암3동,39
이문1동,24
이문2동,10
이촌1동,26
이촌2동,13
이태원1동,19
이태원2동,12
이화동,12
인수동,68
인헌동,21
일원1동,10
일원2동,19
일원본동,27
자양1동,12
자양2동,10
자양3동,18
자양4동,16
잠실2동,13
잠실3동,21
잠실4동,12
잠실6동,11
잠실7동,8
잠실본동,16
잠원동,26
장안1동,29
장안2동,24
장위1동,30
장위2동,17
장위3동,31
장지동,23
장충동,10
전농1동,24
전농2동,11
정릉1동,7
정릉2동,52
정릉3동,48
정릉4동,27
제기동,31
조원동,24
종로1·2·3·4가동,67
종로5·6가동,17
종암동,46
중계1동,21
중계2·3동,32
중계4동,3
중계본동,10
중곡1동,21
중곡2동,22
중곡3동,21
중곡4동,18
중림동,14
중앙동,13
중화1동,10
중화2동,33
증산동,16
진관동,54
창1동,24
창2동,20
창3동,7
창4동,25
창5동,11
창신1동,9
창신2동,2
창신3동,11
천연동,56
천호1동,12
천호2동,34
천호3동,8
청구동,15
청담동,23
청량리동,19
청룡동,32
청림동,7
청운효자동,29
청파동,25
충현동,48
평창동,53
풍납1동,9
풍납2동,35
필동,7
하계1동,21
하계2동,32
한강로동,33
한남동,43
합정동,33
행당1동,20
행당2동,28
행운동,6
혜화동,33
홍은1동,45
홍은2동,80
홍제1동,21
홍제2동,3
홍제3동,15
화곡1동,25
화곡2동,26
화곡3동,11
화곡4동,18
화곡6동,25
화곡8동,38
화곡본동,18
화양동,17
황학동,9
회기동,20
회현동,27
효창동,9
후암동,13
휘경1동,15
휘경2동,22
흑석동,44
