,HDong_name,workppl,dem,bikelength
1,가락1동,22381.0,-15.5247,7150.0
2,가락2동,18686.0,-39.3115,4704.0
3,가락본동,25532.0,-30.7845,6932.0
4,가리봉동,7566.0,-21.8088,0.0
5,가산동,25926.0,-12.949,2108.0
6,가양1동,29687.0,-8.259,19044.0
7,가양2동,6812.0,-6.3928,5339.0
8,가양3동,4354.0,-10.0878,776.0
9,가회동,1729.0,-59.9773,0.0
10,갈현1동,24001.0,-65.7546,0.0
11,갈현2동,28770.0,-40.7416,1688.0
12,강일동,17880.0,-22.4913,1781.0
13,개봉1동,20650.0,-19.8128,67.0
14,개봉2동,22416.0,-11.4197,2755.0
15,개봉3동,13460.0,-18.8147,2513.0
16,개포1동,6902.0,-64.5348,1840.0
17,개포2동,13138.0,-52.8422,3425.0
18,개포4동,6970.0,-77.8788,1598.0
19,거여1동,17892.0,-32.5717,2946.0
20,거여2동,10255.0,-47.0949,0.0
21,고덕1동,16493.0,-29.3446,9983.0
22,고덕2동,15724.0,-22.4319,3768.0
23,고척1동,11147.0,-15.7491,4712.0
24,고척2동,20792.0,-25.8971,967.0
25,공덕동,26287.0,-50.4208,0.0
26,공릉1동,23372.0,-21.9217,1805.0
27,공릉2동,22067.0,-52.8292,8562.0
28,공항동,22626.0,-10.7135,2406.0
29,광장동,17262.0,-29.6695,11877.0
30,광희동,2900.0,-25.4748,539.0
31,교남동,2838.0,-59.1292,0.0
32,구로1동,24028.0,-11.7118,399.0
33,구로2동,13110.0,-13.2481,2292.0
34,구로3동,23796.0,-15.0795,6681.0
35,구로4동,14459.0,-12.2818,2564.0
36,구로5동,24989.0,-11.7436,6976.0
37,구산동,33801.0,-40.2563,1380.0
38,구의1동,17387.0,-22.7882,1741.0
39,구의2동,10120.0,-80.1781,2589.0
40,구의3동,21169.0,-16.261,13750.0
41,군자동,12185.0,-18.2051,3453.0
42,금호1가동,14001.0,-67.1947,0.0
43,금호2·3가동,14066.0,-51.8054,0.0
44,금호4가동,9237.0,-22.4569,2444.0
45,길동,22288.0,-31.6421,5232.0
46,길음1동,20016.0,-55.2256,0.0
47,길음2동,11108.0,-32.1931,686.0
48,낙성대동,19942.0,-132.4359,3920.0
49,난곡동,19056.0,-71.1384,0.0
50,난향동,13020.0,-108.2617,0.0
51,남가좌1동,14244.0,-20.4594,2072.0
52,남가좌2동,12521.0,-29.4265,933.0
53,남영동,7149.0,-30.9781,982.0
54,남현동,11469.0,-128.3537,4023.0
55,내곡동,13900.0,-110.8731,0.0
56,노량진1동,15134.0,-24.1441,1369.0
57,노량진2동,16785.0,-21.1604,2287.0
58,녹번동,24520.0,-83.4793,0.0
59,논현1동,18509.0,-35.039,1777.0
60,논현2동,22001.0,-46.7167,4691.0
61,능동,11083.0,-27.4135,3748.0
62,다산동,11360.0,-42.1136,0.0
63,답십리1동,13529.0,-19.034,0.0
64,답십리2동,23918.0,-23.8233,0.0
65,당산1동,19397.0,-9.9683,290.0
66,당산2동,20628.0,-8.4205,4909.0
67,대림1동,11664.0,-17.9474,1935.0
68,대림2동,8978.0,-13.0967,2255.0
69,대림3동,12794.0,-11.8678,101.0
70,대방동,22422.0,-29.7643,30.0
71,대조동,12500.0,-31.6808,0.0
72,대치1동,22413.0,-14.9916,8022.0
73,대치2동,18688.0,-16.7109,11859.0
74,대치4동,18231.0,-25.0848,0.0
75,대학동,16176.0,-227.1326,2509.0
76,대흥동,12640.0,-41.8932,0.0
77,도곡1동,19495.0,-33.2024,4124.0
78,도곡2동,16743.0,-18.328,7974.0
79,도림동,7692.0,-17.7924,0.0
80,도봉1동,27161.0,-168.4798,6232.0
81,도봉2동,15333.0,-29.0081,5481.0
82,도화동,18046.0,-31.2117,126.0
83,독산1동,34409.0,-18.5002,8313.0
84,독산2동,14691.0,-50.2283,0.0
85,독산3동,24490.0,-32.2896,0.0
86,독산4동,6582.0,-50.8031,0.0
87,돈암1동,15325.0,-65.0633,148.0
88,돈암2동,27215.0,-64.4015,0.0
89,동선동,7357.0,-68.0834,0.0
90,동화동,8815.0,-46.5747,0.0
91,둔촌1동,2702.0,-31.4826,0.0
92,둔촌2동,11157.0,-47.5814,220.0
93,등촌1동,21124.0,-11.3396,6105.0
94,등촌2동,25564.0,-21.5435,2055.0
95,등촌3동,28226.0,-9.8289,11246.0
96,마장동,15989.0,-16.7449,6930.0
97,마천1동,7351.0,-53.8806,0.0
98,마천2동,10279.0,-47.5169,791.0
99,망우3동,10188.0,-110.7328,0.0
100,망우본동,13875.0,-71.7982,0.0
101,망원1동,18805.0,-7.934,10686.0
102,망원2동,18619.0,-9.4027,2201.0
103,면목2동,23648.0,-15.12,2366.0
104,면목3·8동,10872.0,-122.6671,0.0
105,면목4동,12967.0,-88.3652,566.0
106,면목5동,13784.0,-15.7095,1271.0
107,면목7동,9223.0,-137.3506,0.0
108,면목본동,21981.0,-28.8569,0.0
109,명동,1433.0,-37.4985,0.0
