동,생산인구,경사도,자전거도로길이,총거치대수,총대여수,비율
가락1동,22381.0,-15.5247,7150.0,115.0,74652.0,64914.78
가락2동,18686.0,-39.3115,4704.0,45.0,33583.0,74628.89
가락본동,25532.0,-30.7845,6932.0,55.0,25487.0,46340.0
가리봉동,7566.0,-21.8088,0.0,10.0,5621.0,56210.0
가산동,25926.0,-12.949000000000002,2108.0,258.0,160033.0,62028.29
가양1동,29687.0,-8.259,19044.0,948.0,470514.0,49632.28
가양2동,6812.0,-6.3928,5339.0,65.0,62588.0,96289.23
가양3동,4354.0,-10.0878,776.0,33.0,48481.0,146912.12
가회동,1729.0,-59.9773,0.0,33.0,19088.0,57842.42
갈현1동,24001.0,-65.7546,0.0,15.0,11612.0,77413.33
갈현2동,28770.0,-40.7416,1688.0,10.0,9130.0,91300.0
강일동,17880.0,-22.4913,1781.0,105.0,49664.0,47299.05
개봉1동,20650.0,-19.8128,67.0,69.0,47097.0,68256.52
개봉2동,22416.0,-11.4197,2755.0,35.0,11147.0,31848.57
개봉3동,13460.0,-18.8147,2513.0,15.0,6479.0,43193.33
개포1동,6902.0,-64.5348,1840.0,50.0,8208.0,16416.0
개포2동,13138.0,-52.8422,3425.0,105.0,32017.0,30492.38
개포4동,6970.0,-77.8788,1598.0,70.0,29660.0,42371.43
거여1동,17892.0,-32.5717,2946.0,55.0,47801.0,86910.91
거여2동,10255.0,-47.0949,0.0,0.0,0.0,0.0
고덕1동,16493.0,-29.3446,9983.0,55.0,18181.0,33056.36
고덕2동,15724.0,-22.4319,3768.0,75.0,19466.0,25954.67
고척1동,11147.0,-15.7491,4712.0,85.0,55706.0,65536.47
고척2동,20792.0,-25.8971,967.0,30.0,24532.0,81773.33
공덕동,26287.0,-50.4208,0.0,55.0,82078.0,149232.73
공릉1동,23372.0,-21.9217,1805.0,140.0,157550.0,112535.71
공릉2동,22067.0,-52.8292,8562.0,167.0,89826.0,53788.02
공항동,22626.0,-10.7135,2406.0,60.0,66171.0,110285.0
광장동,17262.0,-29.6695,11877.0,78.0,61045.0,78262.82
광희동,2900.0,-25.4748,539.0,28.0,19176.0,68485.71
교남동,2838.0,-59.1292,0.0,37.0,23371.0,63164.86
구로1동,24028.0,-11.7118,399.0,95.0,65451.0,68895.79
구로2동,13110.0,-13.2481,2292.0,35.0,13903.0,39722.86
구로3동,23796.0,-15.0795,6681.0,100.0,123868.0,123868.0
구로4동,14459.0,-12.2818,2564.0,50.0,47783.0,95566.0
구로5동,24989.0,-11.7436,6976.0,85.0,130834.0,153922.35
구산동,33801.0,-40.2563,1380.0,20.0,22376.0,111880.0
구의1동,17387.0,-22.7882,1741.0,20.0,21145.0,105725.0
구의2동,10120.0,-80.1781,2589.0,72.0,53157.0,73829.17
구의3동,21169.0,-16.261,13750.0,88.0,79970.0,90875.0
군자동,12185.0,-18.2051,3453.0,156.0,119156.0,76382.05
금호1가동,14001.0,-67.1947,0.0,15.0,1608.0,10720.0
금호2·3가동,14066.0,-51.8054,0.0,34.0,7434.0,21864.71
금호4가동,9237.0,-22.4569,2444.0,97.0,22942.0,23651.55
길동,22288.0,-31.6421,5232.0,100.0,89033.0,89033.0
길음1동,20016.0,-55.2256,0.0,97.0,46832.0,48280.41
길음2동,11108.0,-32.1931,686.0,0.0,0.0,0.0
낙성대동,19942.0,-132.4359,3920.0,63.0,22144.0,35149.21
난곡동,19056.0,-71.1384,0.0,12.0,17071.0,142258.33
난향동,13020.0,-108.2617,0.0,10.0,4451.0,44510.0
남가좌1동,14244.0,-20.4594,2072.0,87.0,16122.0,18531.03
남가좌2동,12521.0,-29.4265,933.0,55.0,34172.0,62130.91
남영동,7149.0,-30.9781,982.0,65.0,47320.0,72800.0
남현동,11469.0,-128.3537,4023.0,0.0,0.0,0.0
내곡동,13900.0,-110.8731,0.0,209.0,50580.0,24200.96
노량진1동,15134.0,-24.1441,1369.0,90.0,107570.0,119522.22
노량진2동,16785.0,-21.1604,2287.0,10.0,26130.0,261300.0
녹번동,24520.0,-83.4793,0.0,112.0,69421.0,61983.04
논현1동,18509.0,-35.039,1777.0,50.0,32447.0,64894.0
논현2동,22001.0,-46.7167,4691.0,75.0,38514.0,51352.0
능동,11083.0,-27.4135,3748.0,112.0,82894.0,74012.5
다산동,11360.0,-42.1136,0.0,15.0,8275.0,55166.67
답십리1동,13529.0,-19.034000000000002,0.0,59.0,51480.0,87254.24
답십리2동,23918.0,-23.8233,0.0,44.0,36401.0,82729.55
당산1동,19397.0,-9.9683,290.0,50.0,49623.0,99246.0
당산2동,20628.0,-8.4205,4909.0,147.0,239109.0,162659.18
대림1동,11664.0,-17.9474,1935.0,0.0,0.0,0.0
대림2동,8978.0,-13.0967,2255.0,18.0,15239.0,84661.11
대림3동,12794.0,-11.8678,101.0,26.0,22375.0,86057.69
대방동,22422.0,-29.7643,30.0,125.0,73455.0,58764.0
