대여소번호,대여소명,동,구,총거치대수,2020년_대여수,2019년_대여수
1695,월계미륭아파트 정문,월계3동,노원구,10,0,0
2301,현대고등학교 건너편,신사동,강남구,10,11352,17117
2302,교보타워 버스정류장(신논현역 3번출구 후면),논현1동,강남구,10,4762,12548
2303,논현역 7번출구,논현1동,강남구,15,2367,8413
2304,신영 ROYAL PALACE 앞,논현2동,강남구,10,931,2631
2305,MCM 본사 직영점 앞,논현2동,강남구,10,1426,3239
2306,압구정역 2번 출구 옆,신사동,강남구,30,4213,11067
2307,압구정 한양 3차 아파트,압구정동,강남구,10,5360,10955
2308,압구정파출소 앞,압구정동,강남구,14,2923,5955
2309,청담역(우리들병원 앞),청담동,강남구,10,1267,3021
2310,청담동 맥도날드 옆(위치),청담동,강남구,10,2136,5140
2311,학동로 래미안 아파트 앞,청담동,강남구,10,1079,2668
2312,청담역 13번 출구 앞,청담동,강남구,10,1528,3205
2313,금원빌딩 앞,청담동,강남구,10,4298,7833
2314,청담나들목입구,삼성1동,강남구,10,3322,5109
2315,봉은사역 5번출구 옆,삼성1동,강남구,10,4293,10931
2316,삼성역 8번출구,삼성1동,강남구,20,4276,9626
2317,삼성도로공원,삼성1동,강남구,10,3594,6422
2318,삼성중앙역4번출구(문화센터더 리빌),삼성1동,강남구,15,1879,5541
2319,포스코4거리 서측(수협 삼성동 지점),삼성2동,강남구,10,1725,4342
2320,도곡역 대치지구대 방향,도곡2동,강남구,10,3320,7290
2321,학여울역 사거리,대치2동,강남구,10,3505,6589
2322,삼성역 3번 출구,대치2동,강남구,15,2378,5752
2323,주식회사 오뚜기 정문 앞,대치2동,강남구,10,1502,2570
2324,천주교 대치 2동 교회 옆,대치2동,강남구,10,3765,7398
2325,대치동 버거킹대치점,대치4동,강남구,10,3417,7708
2326,대치동 삼성로,대치2동,강남구,10,1296,2436
2327,뱅뱅사거리 랜드마크타워 앞,역삼1동,강남구,15,3204,8489
2328,르네상스 호텔 사거리 역삼지하보도 7번출구 앞,역삼1동,강남구,10,1752,5216
2329,르네상스호텔사거리 역삼지하보도 2번출구,역삼1동,강남구,10,831,2532
2330,스타벅스 앞,역삼1동,강남구,10,2277,5678
2331,동영문화센터앞,역삼2동,강남구,20,1892,5654
2332,선릉역3번출구,역삼2동,강남구,15,3711,9443
2333,양재역 3번출구 주변,도곡1동,강남구,15,3918,8399
2334,삼호아파트 2동 ( 간선도로),대치4동,강남구,15,682,2675
2335,3호선 매봉역 3번출구앞,도곡2동,강남구,10,3281,8764
2336,강남세브란스교차로 래미안그레이튼 104동 앞,대치2동,강남구,10,947,3156
2337,대모산입구역 2번출구 앞,개포2동,강남구,15,1374,2759
2339,현대아파트 정문 앞,개포2동,강남구,10,1567,3751
2340,삼호물산버스정류장(23370) 옆,개포4동,강남구,15,4559,11678
2341,일원역 4~5번 출구 사이,일원본동,강남구,10,1178,2125
2342,대청역 1번출구 뒤,일원2동,강남구,10,6286,11792
2343,세곡사거리 대왕파출소 앞,세곡동,강남구,10,487,942
2344,리엔파크 2단지 앞,세곡동,강남구,10,1993,3879
2347,두산건설 본사,논현2동,강남구,15,1232,3909
2348,포스코사거리(기업은행),삼성1동,강남구,20,5140,13030
2349,역삼빌딩 앞(하나은행 옆),역삼1동,강남구,10,1292,4262
2350,래미안그레이튼102동앞,역삼1동,강남구,10,1022,2830
2351,청소년수련관(수영장)앞,일원본동,강남구,15,708,1665
2352,서울본부세관(건설회관 앞),논현2동,강남구,10,996,2705
2353,강남구청역 2번출구 뒤,논현2동,강남구,10,2198,5801
2354,청담역 2번출구,삼성1동,강남구,5,999,1957
2355,삼성역 5~6번 출구 사이,삼성1동,강남구,25,4315,11644
2356,강남구청,삼성2동,강남구,10,1845,4229
2357,르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번,역삼2동,강남구,15,1438,4980
2358,구룡초사거리 (현대아파트10동 앞 ),개포1동,강남구,10,826,2708
2359,"국립국악중,고교 정문 맞은편",개포4동,강남구,10,2399,5153
2360,도곡1동 주민센터 교차로,역삼2동,강남구,15,1733,6304
2361,압구정역 교차로,신사동,강남구,10,2859,6545
2362,신사동 가로수길 입구,신사동,강남구,10,3016,6774
2363,강남 을지병원 교차로,논현1동,강남구,15,1182,3175
2364,도산대로 렉서스 앞,신사동,강남구,10,1563,3213
2365,K+ 타워 앞,신사동,강남구,15,3120,6963
2368,도곡동 경남아파트 건너편,도곡1동,강남구,10,811,2992
2369,KT선릉타워,대치2동,강남구,20,2592,6465
2370,한티역 3번출구,대치4동,강남구,20,2556,6823
2371,한국우편사업진흥원,논현2동,강남구,10,1118,3620
2372,대치역 사거리,대치2동,강남구,10,4440,9169
2373,개포동역 사거리,개포2동,강남구,20,3865,6426
2375,수서역 1번출구 앞,수서동,강남구,10,2639,4335
2376,수서역 6번출구 앞,수서동,강남구,20,683,1984
2377,수서역 5번출구 뒤,수서동,강남구,10,5916,14340
2380,삼성동베이직하우스앞,삼성2동,강남구,15,1599,4398
2381,언주역 6번출구앞,역삼1동,강남구,8,1524,3838
2382,역삼동 sk뷰 501동앞,역삼2동,강남구,11,787,2397
2383,보금자리정원,세곡동,강남구,10,689,1501
2384,자곡사거리,세곡동,강남구,10,4854,10965
2385,학동역,논현2동,강남구,10,2091,6617
2386,sk 동우주유소 앞,논현1동,강남구,10,0,0
2387,래미안강남힐즈 사거리,세곡동,강남구,10,2286,7126
2388,강남구 도시관리공단,삼성1동,강남구,10,1066,2761
2389,경기여자고등학교 후문 (삼성로3길 입구),개포2동,강남구,15,1533,2285
2390,구룡마을 입구 (래미안블레스티지 아파트),개포1동,강남구,10,1002,2627
2391,구룡터널 입구(개포1단지아파트),개포1동,강남구,10,87,189
2392,구룡산 입구 (구룡산 서울둘레길 입구),개포4동,강남구,15,369,971
2393,구룡사 앞 교차로 (보도육교),개포4동,강남구,10,271,788
2394,래미안강남포레스트 입구 (보도육교),개포1동,강남구,10,3,0
2395,개포1단지아파트 입구 (보도육교),개포1동,강남구,10,94,672
2396,영동3교 북단(우성캐릭터 앞 보도),도곡2동,강남구,15,2474,5258
2398,더라움,역삼1동,강남구,10,1518,4639
2401,밀알학교 입구 (삼성서울병원 입구),일원본동,강남구,15,905,1595
2403,공무원연금매점 교차로 (개포주공9단지 입구),개포2동,강남구,15,447,965
2404,대모산입구역 4번 출구 앞,개포2동,강남구,10,2279,4665
2405,청담공원앞 교차로,삼성동,강남구,20,2335,5859
2406,논현동 광명빌딩 앞,역삼1동,강남구,10,881,2570
2407,역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),역삼1동,강남구,10,3723,10336
2408,강남한양수자인아파트,세곡동,강남구,14,2141,4242
2409,역삼동 디오슈페리움 (우성아파트 사거리),역삼1동,강남구,20,2794,6342
2410,포스코피앤에스타워 (역삼역 3번출구 부근),역삼2동,강남구,10,1943,5688
2411,세곡동 성당,세곡동,강남구,15,2405,4626
2412,일원1동 주민센터,일원1동,강남구,15,4498,8509
2413,도곡역 1번 출구,도곡2동,강남구,20,189,0
2414,도곡역 아카데미스위트 앞,도곡2동,강남구,20,391,0
2415,한티역 롯데백화점 앞,대치4동,강남구,15,214,0
2416,한티역 6번 출구,도곡2동,강남구,10,75,0
2417,선정릉 일등 추어탕 앞,역삼1동,강남구,10,62,0
2418,봉은사역 7번 출구,삼성1동,강남구,10,251,0
2419,"봉은사역 1,2번 출구",삼성1동,강남구,20,183,0
2420,학여울역 사거리(LG베스트샵 앞),대치2동,강남구,20,252,0
2421,신논현역 4번출구,역삼1동,강남구,15,128,0
2422,수서동 성당 맞은편,수서동,강남구,10,191,0
2423,영희초교 사거리(래미안개포루체하임),일원2동,강남구,10,364,0
2425,세곡동 사거리(대왕초등학교 정류장),세곡동,강남구,20,37,0
2426,강남한신휴플러스 6단지,세곡동,강남구,10,121,0
2427,개포고등학교 정문앞,개포2동,강남구,10,2,0
2428,롯데리아 개포점앞,개포2동,강남구,10,99,0
2429,압구정로데오역 6번출구,압구정동,강남구,10,384,0
2430,강남파이낸스센터앞(역삼역2번출구),역삼1동,강남구,10,142,0
2431,대치역 7번출구,대치1동,강남구,10,288,0
1001,광진교 남단 사거리(디지털프라자앞),천호2동,강동구,14,6671,14291
1002,해공공원(천호동),천호2동,강동구,10,6748,11132
1003,해공도서관앞,천호2동,강동구,20,2722,6927
1004,삼성광나루아파트 버스정류장,암사2동,강동구,10,4902,8930
1006,롯데캐슬 115동앞,명일1동,강동구,15,2814,5289
1007,암사동 선사유적지,암사2동,강동구,16,663,714
1008,암사역 3번출구(국민은행앞),암사2동,강동구,10,9897,19167
1009,천호역4번출구(현대백화점),천호2동,강동구,20,13126,26222
1010,강동세무서,길동,강동구,20,8711,17961
1011,LIGA 아파트 앞,성내3동,강동구,20,8784,21508
1012,서울 상운차량,성내2동,강동구,15,3079,7612
1013,강동구청역 1번 출입구,성내1동,강동구,15,4115,10257
1014,강동구평생학습관앞,고덕2동,강동구,15,3685,6975
1015,샛마을 근린공원,명일1동,강동구,13,3726,7240
1016,해뜨는 주유소옆 리엔파크 109동앞,강일동,강동구,10,2564,3709
1017,맥도날드(길동),길동,강동구,20,5956,11628
1018,둔촌 주공 GS 맞은편,성내3동,강동구,20,1217,6413
1019,다성이즈빌아파트(호원대 대각선 맞은편),성내1동,강동구,10,9507,22413
1020,강동경찰서,성내1동,강동구,15,8047,19764
1021,강일동 리슈빌 빌딩앞,강일동,강동구,15,4241,7875
1022,길동 사거리(초소앞),길동,강동구,20,5299,11421
1023,한국종합기술사옥 앞,강일동,강동구,15,4727,8083
1024,강동구청 앞,성내1동,강동구,10,6734,13129
1025,상일초등학교,상일동,강동구,10,1723,2796
1026,대명초교 입구 교차로,명일1동,강동구,14,1999,3941
1027,프라자 아파트 앞,길동,강동구,20,3411,6585
1028,포레스 주상복합 빌딩,성내2동,강동구,10,3596,8061
1029,롯데 시네마,성내2동,강동구,10,6504,15112
1030,미호 플랜트 앞,성내1동,강동구,15,4355,8769
1031,암사동 CBIS,암사3동,강동구,15,1969,3221
1032,선사고등학교,암사3동,강동구,20,1718,3002
1033,고덕동 아남아파트,고덕1동,강동구,10,2691,5082
1034,고덕동 래미안 힐스테이트,고덕1동,강동구,15,1512,2472
1035,고덕역 4번출구,명일2동,강동구,20,3929,11300
1036,고덕동 주양쇼핑,명일2동,강동구,10,4135,6360
1037,강일리버파크 6단지,강일동,강동구,10,681,1199
1038,강일 다솜 어린이 공원,강일동,강동구,10,822,977
1039,고덕초등학교,고덕2동,강동구,7,596,860
1041,묘곡초등학교,고덕1동,강동구,10,2150,4152
1042,강일리버파크 2~5단지,강일동,강동구,10,2153,2792
1044,굽은다리역,명일1동,강동구,15,11309,23917
1047,건강보험 강동지사kt,길동,강동구,10,5521,11893
1048,동부기업(둔촌동),둔촌2동,강동구,10,5749,11017
1049,강일리버파크 10단지,강일동,강동구,10,2549,3810
1050,둔촌역 3번 출입구,성내3동,강동구,15,12123,25833
1051,양지시장 (용성약국앞) 입구,암사1동,강동구,15,4285,8023
1052,리싸이클시티,고덕2동,강동구,10,1160,1968
1053,동명근린공원 진입로 (아리수로),고덕2동,강동구,8,1238,1837
1054,말우물 어린이 공원,상일동,강동구,10,953,947
1056,강일리버파크 7~11단지,강일동,강동구,10,1180,2116
1057,능골근린공원,상일동,강동구,15,1841,2742
1058,고덕숲 아이파크 1,상일동,강동구,12,2758,1378
1059,래미안 강동팰리스(102동),천호3동,강동구,15,4747,10656
1060,천일초교 사거리,천호1동,강동구,8,2641,5432
1061,천호초교 입구 사거리(일주빌딩),천호1동,강동구,10,3111,6705
1062,고덕숲 아이파크 2,상일동,강동구,15,1147,1827
3539,서원마을,암사2동,강동구,10,565,911
1063,강동롯데캐슬퍼스트 아파트(관리동),암사3동,강동구,15,266,0
1064,중앙보훈병원역 1번출구,둔촌2동,강동구,15,155,0
1065,보훈병원 정문옆(중앙대영약국),둔촌2동,강동구,20,129,0
1066,생태공원앞 교차로(조명탑),둔촌2동,강동구,20,55,0
1067,한영중고앞사거리,명일1동,강동구,20,132,0
1068,명일파출소,명일2동,강동구,20,457,0
1069,강동경희대학교병원 입구,상일동,강동구,15,173,0
1070,(시립)고덕평생학습관,고덕2동,강동구,10,0,0
1071,명일근린공원공동체텃밭,상일동,강동구,15,108,0
1072,고덕역 5번출구,고덕1동,강동구,10,0,0
1073,SSTS 몰 앞,천호3동,강동구,10,394,0
1074,대명초교입구 사거리,명일1동,강동구,15,379,0
1075,천동초교 삼거리,천호3동,강동구,10,387,0
1076,전자랜드 길동점,길동,강동구,10,647,0
1077,강동역 1번출구 앞,천호3동,강동구,15,598,0
1078,둔촌사거리,성내3동,강동구,20,772,0
1079,강일동입구교차로,강일동,강동구,15,186,0
1080,엘웨딩,성내2동,강동구,10,290,0
1081,트레빌빌딩,천호3동,강동구,20,251,0
1082,중앙보훈병원역3번출구,둔촌2동,강동구,13,0,0
1083,광문고교사거리(아이파크),고덕2동,강동구,15,219,0
1084,윤선생빌딩(JYP사옥),양재1동,강동구,15,661,0
1085,래미안 솔베뉴(고덕로),명일1동,강동구,20,141,0
1086,래미안 솔베뉴(구천면로),명일1동,강동구,10,170,0
1088,풍납사거리(강동),성내1동,강동구,12,416,0
1089,고덕 래미안힐스테이트(201동),고덕1동,강동구,10,122,0
1090,상일동역 2번출구 앞,고덕2동,강동구,10,928,0
1501,"미아역 3번,4번 출구 사이",미아동,강북구,9,4241,10252
1503,이디야 커피 수유역점 앞,수유3동,강북구,12,9852,20944
1504,다이소 삼양시장점,미아동,강북구,10,1367,3754
