ADM_DR_NM_,Cnt_ADM_DR,Sum_Join_C
,1,0
가락1동,1,1
가락본동,2,2
가산동,2,2
가양1동,4,4
가양2동,1,1
가양3동,1,1
개봉1동,1,1
개포2동,3,3
거여1동,1,1
고덕1동,1,1
고덕2동,1,1
공릉1동,2,2
공릉2동,1,1
공항동,2,2
광장동,1,1
광희동,1,1
구로2동,1,1
구로3동,2,2
구로4동,1,1
구로5동,1,1
구산동,1,1
구의1동,1,1
구의2동,1,1
구의3동,1,1
금호1가동,1,1
금호2·3가동,1,1
길동,1,1
길음1동,1,1
남가좌1동,1,1
남영동,3,3
내곡동,1,1
노량진1동,2,2
녹번동,2,2
논현1동,2,2
논현2동,2,2
능동,1,1
다산동,1,1
답십리1동,1,1
당산1동,1,1
당산2동,1,1
대방동,2,2
대치1동,2,2
대치2동,1,1
대치4동,1,1
대흥동,2,2
도곡1동,2,2
도봉2동,2,2
동선동,1,1
동화동,1,1
둔촌1동,1,1
둔촌2동,1,1
마장동,1,1
마천1동,1,1
망우본동,1,1
면목3·8동,1,1
면목4동,1,1
면목본동,1,1
명동,2,2
명일1동,1,1
목1동,2,2
목2동,1,1
무악동,1,1
묵1동,1,1
문래동,1,1
문정1동,1,1
문정2동,2,2
미아동,1,1
반포1동,1,1
반포2동,1,1
반포3동,1,1
반포4동,1,1
반포본동,1,1
방배1동,1,1
방배2동,1,1
방배4동,3,3
방이1동,1,1
방이2동,1,1
방학1동,1,1
방화1동,1,1
방화2동,2,2
방화3동,1,1
보문동,1,1
북아현동,1,1
불광1동,2,2
불광2동,1,1
사근동,2,2
사당1동,1,1
사당2동,1,1
사당3동,1,1
사직동,2,2
삼성1동,2,2
삼성2동,2,2
삼양동,3,3
삼전동,1,1
상계1동,1,1
상계2동,1,1
상계3·4동,1,1
상계5동,1,1
상계9동,1,1
상도1동,2,2
상도2동,1,1
상봉1동,2,2
상암동,1,1
서강동,2,2
서교동,3,3
서빙고동,1,1
서초1동,2,2
서초3동,1,1
성내2동,1,1
성내3동,1,1
성북동,1,1
성산2동,2,2
성수1가1동,1,1
성수1가2동,1,1
성수2가3동,1,1
소공동,1,1
송중동,1,1
송파1동,1,1
수궁동,1,1
수색동,1,1
수서동,1,1
수유1동,1,1
수유2동,1,1
수유3동,1,1
숭인1동,1,1
시흥1동,1,1
신길1동,1,1
신길6동,1,1
신길7동,1,1
신내1동,1,1
신도림동,2,2
신림동,1,1
신사1동,1,1
신사2동,1,1
신사동,2,2
신정1동,1,1
신정4동,1,1
신정7동,1,1
신촌동,2,2
쌍문3동,1,1
아현동,2,2
안암동,1,1
암사2동,1,1
압구정동,2,2
약수동,1,1
양재2동,1,1
양평1동,1,1
양평2동,1,1
여의동,4,4
역삼1동,3,3
염창동,2,2
영등포동,1,1
영등포본동,1,1
오금동,2,2
오류1동,1,1
오류2동,1,1
오륜동,2,2
옥수동,1,1
왕십리도선동,1,1
용강동,1,1
용답동,1,1
용산2가동,1,1
용신동,2,2
우이동,3,3
우장산동,2,2
월계1동,1,1
월계2동,2,2
월계3동,1,1
월곡2동,2,2
을지로동,2,2
응봉동,1,1
이문1동,1,1
이문2동,1,1
이태원1동,1,1
이화동,1,1
일원2동,1,1
일원본동,1,1
자양4동,1,1
잠실2동,2,2
잠실4동,2,2
잠실6동,1,1
잠실본동,1,1
잠원동,1,1
장안1동,1,1
장위2동,1,1
장충동,1,1
전농1동,1,1
정릉1동,1,1
정릉4동,1,1
제기동,2,2
종로1·2·3·4가동,3,3
종로5·6가동,1,1
중계2·3동,1,1
중곡1동,1,1
중곡3동,1,1
중앙동,1,1
중화2동,2,2
증산동,1,1
진관동,1,1
창5동,1,1
창신1동,1,1
창신3동,1,1
천호1동,1,1
천호3동,1,1
청담동,2,2
청룡동,1,1
충현동,2,2
풍납2동,1,1
필동,1,1
하계2동,1,1
한강로동,4,4
한남동,2,2
행당1동,1,1
행당2동,1,1
행운동,1,1
홍제2동,1,1
홍제3동,1,1
화곡8동,1,1
화양동,1,1
황학동,1,1
회현동,1,1
효창동,1,1
휘경1동,1,1
흑석동,1,1
