First_ADM_,Sum_Cnt_역
-,1
가락1동,2
가락2동,1
가락본동,2
가산동,2
가양1동,2
갈현2동,1
개봉2동,1
개포1동,1
개포2동,2
거여1동,1
거여2동,1
고덕1동,1
고덕2동,1
고척1동,1
공릉1동,2
공릉2동,1
공항동,3
광장동,1
광희동,1
구로2동,2
구로3동,1
구로4동,1
구산동,1
구의3동,1
군자동,2
금호2·3가동,1
길동,1
길음1동,1
낙성대동,1
남현동,2
노량진1동,1
노량진2동,1
논현1동,2
논현2동,2
능동,1
다산동,2
당산1동,1
당산2동,1
대방동,1
대조동,1
대치1동,1
대치2동,1
도곡1동,1
도곡2동,1
도봉1동,2
독산1동,1
동선동,1
둔촌2동,1
등촌1동,1
등촌2동,1
등촌3동,1
마장동,2
망우본동,1
망원1동,1
면목4동,1
면목7동,1
면목본동,1
명동,3
명일1동,1
목1동,1
목2동,2
묵1동,1
묵2동,1
문래동,1
문정2동,3
미아동,1
반포1동,2
반포2동,1
반포3동,2
반포4동,1
반포본동,1
발산1동,1
방배1동,1
방배4동,1
방이1동,1
방이2동,1
방학1동,1
방화1동,3
방화2동,1
방화3동,1
보문동,1
북아현동,1
불광1동,1
사근동,2
사당2동,1
사당3동,2
사당5동,1
사직동,2
삼성1동,2
삼성2동,1
삼양동,2
삼전동,1
삼청동,1
상계10동,1
상계1동,1
상계3·4동,1
상계5동,1
상계6·7동,1
상계8동,1
상도1동,1
상도2동,2
상봉1동,1
상암동,2
서강동,2
서교동,2
서빙고동,1
서초2동,1
서초3동,3
서초4동,1
석촌동,1
성내2동,1
성내3동,1
성산2동,3
성수1가1동,1
성수1가2동,1
성수2가3동,1
소공동,1
송천동,1
송파1동,1
수궁동,1
수서동,1
수유1동,1
수유3동,1
숭인2동,1
신길1동,1
신길5동,1
신길6동,1
신당5동,1
신당동,1
신대방1동,1
신도림동,2
신림동,1
신사1동,1
신사2동,1
신사동,1
신수동,1
신정3동,1
신정4동,2
신정7동,1
신촌동,1
쌍문3동,1
아현동,1
안암동,2
암사2동,1
압구정동,1
양재2동,2
양평1동,1
양평2동,1
여의동,4
역삼1동,2
역삼2동,1
역촌동,1
염리동,1
영등포동,2
영등포본동,1
오류1동,1
오류2동,1
오륜동,2
옥수동,2
용강동,1
용답동,2
용문동,1
용산2가동,1
용신동,2
우이동,3
원효로1동,1
월계1동,2
월계2동,1
월곡2동,1
을지로동,1
응봉동,1
응암1동,1
이문1동,1
이문2동,1
이촌1동,1
이태원1동,1
인수동,2
일원2동,1
일원본동,1
자양1동,1
자양4동,2
잠실2동,1
잠실3동,1
잠실4동,1
잠실6동,1
잠실본동,2
잠원동,2
장위2동,1
장충동,1
정릉2동,1
정릉3동,1
종로1·2·3·4가동,3
종로5·6가동,1
종암동,1
중곡3동,1
중화1동,1
중화2동,2
증산동,1
진관동,1
창1동,1
창5동,1
창신1동,1
창신3동,1
천연동,1
천호1동,1
청담동,1
청량리동,1
청룡동,2
청파동,2
충현동,2
풍납1동,1
풍납2동,1
필동,1
하계2동,1
한강로동,3
한남동,3
합정동,2
행당1동,1
행당2동,1
혜화동,2
홍제1동,2
화곡1동,1
화곡3동,1
회기동,1
회현동,1
흑석동,1
