,기간,자치구,동,인구,면적,인구밀도
2,2019,종로구,사직동,"9,815",1.23,"7,980"
3,2019,종로구,삼청동,"2,997",1.49,"2,011"
4,2019,종로구,부암동,"10,551",2.27,"4,648"
5,2019,종로구,평창동,"18,816",8.87,"2,121"
6,2019,종로구,무악동,"8,740",0.36,"24,278"
7,2019,종로구,교남동,"10,708",0.35,"30,594"
8,2019,종로구,가회동,"4,488",0.54,"8,311"
9,2019,종로구,종로1·2·3·4가동,"8,446",2.35,"3,594"
10,2019,종로구,종로5·6가동,"5,839",0.6,"9,732"
11,2019,종로구,이화동,"8,470",0.78,"10,859"
12,2019,종로구,창신1동,"6,079",0.31,"19,610"
13,2019,종로구,창신2동,"9,799",0.26,"37,688"
14,2019,종로구,창신3동,"7,271",0.23,"31,613"
15,2019,종로구,숭인1동,"6,532",0.23,"28,400"
16,2019,종로구,숭인2동,"9,902",0.35,"28,291"
17,2019,종로구,청운효자동,"12,981",2.57,"5,051"
18,2019,종로구,혜화동,"20,435",1.12,"18,246"
20,2019,중구,소공동,"3,059",0.95,"3,220"
21,2019,중구,회현동,"5,850",0.84,"6,964"
22,2019,중구,명동,"3,567",0.99,"3,603"
23,2019,중구,필동,"5,020",1.14,"4,404"
24,2019,중구,장충동,"5,628",1.36,"4,138"
25,2019,중구,광희동,"6,284",0.74,"8,492"
26,2019,중구,을지로동,"2,007",0.6,"3,345"
27,2019,중구,신당5동,"10,929",0.39,"28,023"
28,2019,중구,황학동,"13,689",0.33,"41,482"
29,2019,중구,중림동,"12,942",0.48,"26,963"
30,2019,중구,신당동,"9,234",0.55,"16,789"
31,2019,중구,다산동,"15,035",0.51,"29,480"
32,2019,중구,약수동,"17,734",0.48,"36,946"
33,2019,중구,청구동,"14,515",0.34,"42,691"
34,2019,중구,동화동,"10,995",0.26,"42,288"
36,2019,용산구,후암동,"18,445",0.86,"21,448"
37,2019,용산구,용산2가동,"11,836",1.96,"6,039"
38,2019,용산구,남영동,"8,412",1.19,"7,069"
39,2019,용산구,원효로2동,"14,718",0.71,"20,730"
40,2019,용산구,효창동,"10,300",0.44,"23,409"
41,2019,용산구,용문동,"12,587",0.28,"44,954"
42,2019,용산구,이촌1동,"29,255",2.86,"10,229"
43,2019,용산구,이촌2동,"9,005",1.22,"7,381"
44,2019,용산구,이태원1동,"9,222",0.57,"16,179"
45,2019,용산구,이태원2동,"10,811",0.86,"12,571"
46,2019,용산구,서빙고동,"14,102",2.8,"5,036"
47,2019,용산구,보광동,"15,862",0.71,"22,341"
48,2019,용산구,청파동,"20,661",0.91,"22,704"
49,2019,용산구,원효로1동,"16,630",0.59,"28,186"
50,2019,용산구,한강로동,"19,635",2.9,"6,771"
51,2019,용산구,한남동,"23,704",3.01,"7,875"
53,2019,성동구,왕십리2동,"17,744",0.41,"43,278"
54,2019,성동구,마장동,"24,035",1.05,"22,890"
55,2019,성동구,사근동,"13,543",1.1,"12,312"
56,2019,성동구,행당1동,"16,463",0.59,"27,903"
57,2019,성동구,행당2동,"24,640",0.42,"58,667"
58,2019,성동구,응봉동,"16,188",0.57,"28,400"
59,2019,성동구,금호1가동,"15,954",0.46,"34,683"
60,2019,성동구,금호4가동,"15,227",0.84,"18,127"
61,2019,성동구,성수1가1동,"17,168",1.98,"8,671"
62,2019,성동구,성수1가2동,"14,735",0.89,"16,556"
63,2019,성동구,성수2가1동,"17,722",1.18,"15,019"
64,2019,성동구,성수2가3동,"11,682",1.03,"11,342"
65,2019,성동구,송정동,"11,428",0.75,"15,237"
66,2019,성동구,용답동,"13,290",2.32,"5,728"
67,2019,성동구,왕십리도선동,"27,767",0.72,"38,565"
68,2019,성동구,금호2·3가동,"24,171",0.64,"37,767"
69,2019,성동구,옥수동,"27,222",1.95,"13,960"
71,2019,광진구,화양동,"25,537",1.16,"22,015"
72,2019,광진구,군자동,"22,109",0.74,"29,877"
73,2019,광진구,중곡1동,"16,287",0.62,"26,269"
74,2019,광진구,중곡2동,"22,564",0.55,"41,025"
75,2019,광진구,중곡3동,"17,315",0.6,"28,858"
76,2019,광진구,중곡4동,"30,516",2.32,"13,153"
77,2019,광진구,능동,"11,978",1.1,"10,889"
78,2019,광진구,구의1동,"23,063",0.56,"41,184"
79,2019,광진구,구의2동,"27,902",1.39,"20,073"
80,2019,광진구,구의3동,"30,094",1.02,"29,504"
81,2019,광진구,광장동,"36,083",2.39,"15,097"
82,2019,광진구,자양1동,"24,156",0.57,"42,379"
83,2019,광진구,자양2동,"26,893",1.68,"16,008"
84,2019,광진구,자양3동,"29,475",1.2,"24,563"
85,2019,광진구,자양4동,"23,000",1.16,"19,828"
87,2019,동대문구,회기동,"13,114",0.76,"17,255"
88,2019,동대문구,휘경1동,"16,508",0.63,"26,203"
89,2019,동대문구,휘경2동,"25,068",1.05,"23,874"
90,2019,동대문구,청량리동,"21,808",1.2,"18,173"
91,2019,동대문구,용신동,"32,144",1.61,"19,965"
92,2019,동대문구,제기동,"27,364",1.18,"23,190"
93,2019,동대문구,전농1동,"31,075",1.19,"26,113"
94,2019,동대문구,전농2동,"19,990",0.86,"23,244"
95,2019,동대문구,답십리1동,"29,783",0.81,"36,769"
96,2019,동대문구,답십리2동,"30,486",0.85,"35,866"
97,2019,동대문구,장안1동,"39,153",1.25,"31,322"
98,2019,동대문구,장안2동,"33,045",1.09,"30,317"
99,2019,동대문구,이문1동,"22,311",1.04,"21,453"
100,2019,동대문구,이문2동,"21,174",0.69,"30,687"
102,2019,중랑구,면목2동,"25,942",0.73,"35,537"
103,2019,중랑구,면목4동,"20,052",1.1,"18,229"
104,2019,중랑구,면목5동,"9,825",0.64,"15,352"
105,2019,중랑구,면목7동,"22,200",0.87,"25,517"
106,2019,중랑구,상봉1동,"25,499",0.85,"29,999"
107,2019,중랑구,상봉2동,"19,844",0.68,"29,182"
108,2019,중랑구,중화1동,"20,916",0.68,"30,759"
109,2019,중랑구,중화2동,"27,274",0.98,"27,831"
110,2019,중랑구,묵1동,"36,016",1.2,"30,013"
111,2019,중랑구,묵2동,"19,901",0.7,"28,430"
112,2019,중랑구,망우3동,"17,941",0.99,"18,122"
113,2019,중랑구,신내1동,"40,854",2.53,"16,148"
114,2019,중랑구,신내2동,"21,905",0.99,"22,126"
115,2019,중랑구,면목본동,"36,195",1.01,"35,837"
116,2019,중랑구,면목3·8동,"26,589",1.67,"15,922"
117,2019,중랑구,망우본동,"31,071",2.88,"10,789"
119,2019,성북구,돈암1동,"15,921",0.49,"32,492"
120,2019,성북구,돈암2동,"25,028",0.48,"52,142"
121,2019,성북구,안암동,"17,502",1.33,"13,159"
122,2019,성북구,보문동,"16,653",0.56,"29,738"
123,2019,성북구,정릉1동,"19,455",0.44,"44,216"
124,2019,성북구,정릉2동,"23,834",1.17,"20,371"
125,2019,성북구,정릉3동,"17,233",3.71,"4,645"
126,2019,성북구,정릉4동,"26,792",3.13,"8,560"
127,2019,성북구,길음1동,"37,082",0.79,"46,939"
128,2019,성북구,길음2동,"16,620",0.58,"28,655"
129,2019,성북구,월곡1동,"27,523",0.81,"33,979"
130,2019,성북구,월곡2동,"20,509",1.36,"15,080"
131,2019,성북구,장위1동,"20,592",0.7,"29,417"
132,2019,성북구,장위2동,"13,972",0.67,"20,854"
133,2019,성북구,장위3동,"17,580",0.65,"27,046"
134,2019,성북구,성북동,"17,584",2.86,"6,148"
135,2019,성북구,삼선동,"26,013",0.92,"28,275"
136,2019,성북구,동선동,"16,276",0.73,"22,296"
137,2019,성북구,종암동,"42,068",1.46,"28,814"
138,2019,성북구,석관동,"36,507",1.73,"21,102"
140,2019,강북구,번1동,"19,614",0.66,"29,718"
141,2019,강북구,번2동,"17,102",0.95,"18,002"
142,2019,강북구,번3동,"18,251",1.1,"16,592"
143,2019,강북구,수유1동,"21,841",1.67,"13,078"
144,2019,강북구,수유2동,"21,939",0.57,"38,489"
145,2019,강북구,수유3동,"24,064",0.72,"33,422"
146,2019,강북구,삼양동,"25,537",0.91,"28,063"
147,2019,강북구,미아동,"22,814",0.93,"24,531"
148,2019,강북구,송중동,"31,153",1.01,"30,845"
149,2019,강북구,송천동,"28,628",0.9,"31,809"
150,2019,강북구,삼각산동,"32,900",0.62,"53,065"
151,2019,강북구,우이동,"21,391",10.28,"2,081"
152,2019,강북구,인수동,"32,461",3.28,"9,897"
